"ID","Gender","Date","Age","Distance","Real_Visual_Angle","Reported_Visual_Angle","Time","Task","Ratio_Visual_Angle","Elevation","Session","Template_Distance","Template_Size"
1025,"Female","8/20/2024",25,360805,0.55198400576911,1.14986973198893,"9:11:00 PM","Perceptual",2.0831577001706,4,"Lower",71.75,1.44
1025,"Female","8/20/2024",25,360805,0.55198400576911,0.662077196016189,"10:17:00 PM","Perceptual",1.19944996430409,16,"Higher",67.5,0.78
1026,"Female","8/20/2024",26,360805,0.55198400576911,2.09028981160228,"9:17:00 PM","Perceptual",3.78686662974911,5,"Lower",74,2.7
1026,"Female","8/20/2024",26,360805,0.55198400576911,1.3194808461178,"10:21:00 PM","Perceptual",2.39043311459594,17,"Higher",82.5,1.9
1027,"Male","8/20/2024",33,360805,0.55198400576911,1.83106219380955,"9:20:00 PM","Perceptual",3.31723777260218,5,"Lower",51,1.63
1027,"Male","8/20/2024",33,360805,0.55198400576911,0.901685460893871,"10:24:00 PM","Perceptual",1.63353548557535,17.5,"Higher",61,0.96
1028,"Male","8/20/2024",55,360805,0.55198400576911,3.5105781256542,"9:26:00 PM","Perceptual",6.35992726050588,6,"Lower",62,3.8
1028,"Male","8/20/2024",55,360805,0.55198400576911,2.4878828815711,"10:32:00 PM","Perceptual",4.50716480109707,19,"Higher",87.5,3.8
1029,"Male","8/20/2024",32,360805,0.55198400576911,1.21283939314558,"9:30:00 PM","Perceptual",2.19723647871946,7,"Lower",77,1.63
1029,"Male","8/20/2024",32,360805,0.55198400576911,1.78447837938828,"10:29:00 PM","Perceptual",3.23284435914383,18.5,"Higher",61,1.9
1030,"Male","8/20/2024",24,360805,0.55198400576911,1.79346056011619,"9:35:00 PM","Perceptual",3.24911689717759,8,"Lower",46,1.44
1030,"Male","8/20/2024",24,360805,0.55198400576911,0.715042047745884,"10:26:00 PM","Perceptual",1.29540356291588,18,"Higher",62.5,0.78
1031,"Female","8/20/2024",23,360805,0.55198400576911,1.6721083646812,"9:40:00 PM","Perceptual",3.02926959333063,9,"Lower",65.1,1.9
1031,"Female","8/20/2024",23,360805,0.55198400576911,1.3414984285074,"10:35:00 PM","Perceptual",2.43032119497415,19,"Higher",61.5,1.44
1032,"Male","8/19/2024",16,363196,0.54835022801984,2.89094921726655,"10:11:00 PM","Perceptual",5.27208537453541,14,"Lower",53.5,2.7
1032,"Male","8/19/2024",16,363196,0.54835022801984,2.01908012219808,"11:25:00 PM","Perceptual",3.68209953972158,25,"Higher",46.25,1.63
1033,"Male","8/19/2024",49,363196,0.54835022801984,1.59421448277288,"10:17:00 PM","Perceptual",2.90729245892682,15,"Lower",51.75,1.44
1033,"Male","8/19/2024",49,363196,0.54835022801984,1.18471797443858,"11:45:00 PM","Perceptual",2.16051332506369,27,"Higher",59,1.22
1034,"Female","8/19/2024",19,363196,0.54835022801984,1.89307960735111,"10:18:00 PM","Perceptual",3.45231844652869,15,"Lower",57.5,1.9
1034,"Female","8/19/2024",19,363196,0.54835022801984,1.73683377826231,"11:28:00 PM","Perceptual",3.16738042497807,25,"Higher",47.5,1.44
1035,"Female","8/19/2024",51,363196,0.54835022801984,2.03458955947317,"10:20:00 PM","Perceptual",3.7103833563092,15,"Lower",53.5,1.9
1035,"Female","8/19/2024",51,363196,0.54835022801984,2.23945896100241,"11:43:00 PM","Perceptual",4.08399385387213,27,"Higher",55,2.15
1036,"Female","10/16/2024",23,357488,0.557105582520147,2.56594451159336,"7:30:00 PM","Perceptual",4.60584957699749,16,"Lower",48,2.15
1036,"Female","10/16/2024",23,357488,0.557105582520147,0.78575837505971,"9:32:00 PM","Perceptual",1.41042990720936,39,"Higher",70,0.96
1037,"Female","10/16/2024",18,357488,0.557105582520147,1.71078852195229,"7:33:00 PM","Perceptual",3.07085151474033,16,"Lower",72,2.15
1037,"Female","10/16/2024",18,357488,0.557105582520147,1.33068086928785,"9:41:00 PM","Perceptual",2.38856136258466,41,"Higher",62,1.44
1038,"Female","10/16/2024",20,357488,0.557105582520147,1.76950113864261,"7:39:00 PM","Perceptual",3.17624018527695,11,"Lower",79,2.44
1038,"Female","10/16/2024",20,357488,0.557105582520147,1.32752574337253,"8:36:00 PM","Perceptual",2.38289793716888,28,"Higher",82,1.9
1039,"Female","10/16/2024",20,357488,0.557105582520147,0.896146487219218,"7:40:00 PM","Perceptual",1.60857567279324,18,"Lower",78,1.22
1039,"Female","10/16/2024",20,357488,0.557105582520147,0.723726539416115,"8:40:00 PM","Perceptual",1.29908326558537,29,"Higher",76,0.96
1040,"Female","10/16/2024",18,357488,0.557105582520147,3.22707786576236,"7:43:00 PM","Perceptual",5.79257858297562,18,"Lower",71,4
1040,"Female","10/16/2024",18,357488,0.557105582520147,1.07147425973608,"9:03:00 PM","Perceptual",1.92328760176683,34,"Higher",77,1.44
1041,"Female","10/16/2024",18,357488,0.557105582520147,1.36071080534582,"7:45:00 PM","Perceptual",2.44246485413133,19,"Lower",80,1.9
1041,"Female","10/16/2024",18,357488,0.557105582520147,1.33411287130862,"8:58:00 PM","Perceptual",2.39472177836303,33,"Higher",70,1.63
1042,"Male","10/16/2024",18,357488,0.557105582520147,1.25123740937504,"7:48:00 PM","Perceptual",2.24596099668377,19,"Lower",87,1.9
1042,"Male","10/16/2024",18,357488,0.557105582520147,1.15295023673421,"8:59:00 PM","Perceptual",2.06953631934304,33,"Higher",81,1.63
1043,"Female","10/16/2024",18,357488,0.557105582520147,0.953803666266298,"7:50:00 PM","Perceptual",1.71206984132457,20,"Lower",86.5,1.44
1043,"Female","10/16/2024",18,357488,0.557105582520147,1.71874448728936,"9:11:00 PM","Perceptual",3.08513240796183,35,"Higher",48,1.44
1044,"Female","10/16/2024",20,357488,0.557105582520147,1.27929096791041,"7:52:00 PM","Perceptual",2.29631690661464,20,"Lower",73,1.63
1044,"Female","10/16/2024",20,357488,0.557105582520147,1.22879659082724,"9:18:00 PM","Perceptual",2.20567990948609,36,"Higher",76,1.63
1045,"Male","10/16/2024",19,357488,0.557105582520147,0.723726539416115,"7:56:00 PM","Perceptual",1.29908326558537,21,"Lower",76,0.96
1045,"Male","10/16/2024",19,357488,0.557105582520147,0.688947084423157,"9:21:00 PM","Perceptual",1.2366544260903,37,"Higher",81.5,0.98
1046,"GNC","10/16/2024",18,357488,0.557105582520147,1.62469681337902,"7:59:00 PM","Perceptual",2.916317596441,22,"Lower",67,1.9
1046,"GNC","10/16/2024",18,357488,0.557105582520147,1.48233192547313,"9:14:00 PM","Perceptual",2.66077377786736,36,"Higher",63,1.63
1047,"Male","10/16/2024",23,357488,0.557105582520147,0.925818941369154,"8:01:00 PM","Perceptual",1.66183748721576,22,"Lower",75.5,1.22
1047,"Male","10/16/2024",23,357488,0.557105582520147,0.862957155563023,"9:34:00 PM","Perceptual",1.54900109178463,39,"Higher",81,1.22
1048,"Female","10/16/2024",18,357488,0.557105582520147,1.5792067606097,"8:03:00 PM","Perceptual",2.83466332084832,22,"Lower",78,2.15
1048,"Female","10/16/2024",18,357488,0.557105582520147,0.822348835742584,"9:35:00 PM","Perceptual",1.47610948722246,39.5,"Higher",85,1.22
1049,"Male","10/16/2024",18,357488,0.557105582520147,2.70058666288484,"8:04:00 PM","Perceptual",4.84753114601428,22,"Lower",70,3.3
1049,"Male","10/16/2024",18,357488,0.557105582520147,1.64461297834099,"9:43:00 PM","Perceptual",2.95206695093836,41,"Higher",85,2.44
1050,"Male","10/16/2024",22,357488,0.557105582520147,0.84216376522285,"8:06:00 PM","Perceptual",1.51167712485163,23,"Lower",83,1.22
1050,"Male","10/16/2024",22,357488,0.557105582520147,0.832138360694079,"9:38:00 PM","Perceptual",1.49368160507346,40,"Higher",84,1.22
1051,"Female","10/16/2024",21,357488,0.557105582520147,1.70477302501102,"8:08:00 PM","Perceptual",3.06005374654341,23,"Lower",41,1.22
1051,"Female","10/16/2024",21,357488,0.557105582520147,0.884946922429134,"9:50:00 PM","Perceptual",1.58847254487372,42,"Higher",50.5,0.78
1052,"Female","10/16/2024",18,357488,0.557105582520147,2.27468066507516,"8:10:00 PM","Perceptual",4.08303333595279,24,"Lower",68,2.7
1052,"Female","10/16/2024",18,357488,0.557105582520147,1.12249365388949,"10:08:00 PM","Perceptual",2.01486700027619,45,"Higher",73.5,1.44
1053,"Female","10/16/2024",21,357488,0.557105582520147,0.931990796366406,"8:12:00 PM","Perceptual",1.67291591685442,24,"Lower",75,1.22
1053,"Female","10/16/2024",21,357488,0.557105582520147,0.748342400000073,"10:02:00 PM","Perceptual",1.3432685355886,44,"Higher",73.5,0.96
1054,"Female","10/17/2024",21,357252,0.557473599616555,2.55465874937243,"7:16:00 PM","Perceptual",4.58256453961155,7,"Lower",74,3.3
1054,"Female","10/17/2024",21,357252,0.557473599616555,1.31153286256249,"9:50:00 PM","Perceptual",2.35263672300284,36,"Higher",83,1.9
1055,"Female","10/17/2024",22,357252,0.557473599616555,1.34391345647425,"7:24:00 PM","Perceptual",2.41072125639425,8,"Lower",81,1.9
1055,"Female","10/17/2024",22,357252,0.557473599616555,0.680596408263859,"9:45:00 PM","Perceptual",1.22085854600467,36,"Higher",82.5,0.98
1056,"Female","10/17/2024",18,357252,0.557473599616555,2.00281922303184,"7:30:00 PM","Perceptual",3.59267097923458,10,"Lower",61.5,2.15
1056,"Female","10/17/2024",18,357252,0.557473599616555,0.515658534941426,"9:53:00 PM","Perceptual",0.924991847678723,37,"Higher",80,0.72
1057,"Male","10/17/2024",23,357252,0.557473599616555,2.06242533977591,"7:35:00 PM","Perceptual",3.69959284384856,11,"Lower",75,2.7
1057,"Male","10/17/2024",23,357252,0.557473599616555,1.29978880408272,"9:29:00 PM","Perceptual",2.33157014964789,32,"Higher",83.75,1.9
1058,"Female","10/17/2024",NA,357252,0.557473599616555,1.94570739228996,"7:46:00 PM","Perceptual",3.49022338210862,13,"Lower",79.5,2.7
1058,"Female","10/17/2024",NA,357252,0.557473599616555,1.41372023374187,"9:38:00 PM","Perceptual",2.53594113643097,34,"Higher",77,1.9
1059,"Female","10/17/2024",18,357252,0.557473599616555,2.0556868359813,"7:40:00 PM","Perceptual",3.68750526911993,11,"Lower",68,2.44
1059,"Female","10/17/2024",18,357252,0.557473599616555,1.90968250774438,"9:48:00 PM","Perceptual",3.4256016949644,36,"Higher",64.5,2.15
1060,"Female","10/17/2024",NA,357252,0.557473599616555,1.39186291432886,"7:42:00 PM","Perceptual",2.49673332564308,12,"Lower",88.5,2.15
