Factor,ID,StereoGroup,Log2Intercept,PowerLawIntercept,SubjectSlope
Visual Angle,7047,StereoBlind,1.82057761822923,3.53222591509057,-0.587057058482872
Visual Angle,7052,StereoBlind,0.691328733223286,1.6147700494149,-0.19555273892412
Visual Angle,7053,StereoBlind,0.133225792774493,1.09674322383366,-0.064911071065474
Distance,1032,StereoTypical,-1.15437512708606,0.449260732113291,0.37947664682263
Distance,1034,StereoTypical,-0.870354553818467,0.547012401447456,0.388921379718944
Distance,5051,StereoTypical,-1.8218213264692,0.282863645371466,0.582534719229428
Distance,6001,StereoTypical,0.584314174218165,1.49932607290649,-0.0770328405290155
Distance,7002,StereoTypical,-0.915202331148433,0.530269497682736,0.499796823508119
Distance,7003,StereoTypical,-0.205691889778315,0.867122731441629,0.170554278870934
Distance,7004,StereoTypical,-1.59767280075484,0.3304095288849,0.522479164095305
Distance,7011,StereoTypical,1.26627507713605,2.40539708859172,-0.165667658198449
Distance,7012,StereoTypical,-0.446287879983392,0.733928852893459,0.24397522839242
Distance,7013,StereoTypical,-1.01182779778676,0.495917555289237,0.447868714144851
Distance,7014,StereoTypical,-0.582049794738205,0.668013982239508,0.39820287646682
Distance,7015,StereoTypical,0.137739733895613,1.10018011598079,0.120284419462143
Distance,7016,StereoTypical,-0.848648249674762,0.555304791807317,0.45635616333184
Distance,7017,StereoTypical,1.23834464260358,2.35927672022145,-0.154052422657762
Distance,7018,StereoTypical,-0.764385104449288,0.588704228610127,0.429238288560405
Distance,7019,StereoTypical,-0.872789481206379,0.54608995278268,0.350841714446306
Distance,7020,StereoTypical,-1.61603170793319,0.326231566839786,0.557958457622251
Distance,7043,StereoTypical,-0.93229267877533,0.524024918317984,0.338658900621454
Distance,7044,StereoTypical,-0.841417100868475,0.558095105510047,0.338677002823789
Distance,7049,StereoTypical,-0.910975755609698,0.53182527365841,0.327772546814239
Distance,7051,StereoTypical,-1.17903334422888,0.441647318067576,0.541369818794749
Distance,7007,StereoDeficient,-0.0294494576994671,0.979794122397561,0.207129665055048
Distance,7008,StereoDeficient,-0.723334100459609,0.605696046402335,0.292319185116639
Distance,7021,StereoDeficient,-1.74890932403333,0.297526623570069,0.418240136053831
Distance,7048,StereoDeficient,-1.87370554205781,0.272871657420454,0.431920407230289
Distance,7050,StereoDeficient,-1.33708356907082,0.395820004134274,0.365694976504452
Distance,31624,StereoBlind,-0.389850786707005,0.763208536594689,0.215729137763099
Distance,7000,StereoBlind,0.28911843415838,1.2218934056,0.205558239301273
Distance,7001,StereoBlind,-1.9663798043192,0.255894349417419,0.396218175626377
Distance,7005,StereoBlind,-1.18577895329235,0.439587127913909,0.384586242248905
Distance,7006,StereoBlind,-0.496354517676354,0.70889579739494,0.271509317157095
Distance,7010,StereoBlind,-0.689804440565758,0.619937877765254,0.246543843194699
Distance,7045,StereoBlind,-0.0406607694505433,0.97220956325444,0.110312964201543
Distance,7046,StereoBlind,-1.33012561385316,0.397733610146591,0.510219734911195
Distance,7047,StereoBlind,0.39743852487868,1.31716723037563,0.193143278583889
Distance,7052,StereoBlind,-0.29504170226942,0.815048772416777,0.159525353046562
Distance,7053,StereoBlind,-0.950152361256392,0.517577798276864,0.18897566227778
Elevation,1032,StereoTypical,1.60409596616843,3.04005192631594,-0.324454947895066
Elevation,1034,StereoTypical,2.12299136978282,4.35596200385513,-0.443937375374744
Elevation,5051,StereoTypical,2.89238795214231,7.42498418049178,-0.66561881826556
Elevation,6001,StereoTypical,0.00553260023158364,1.00384226891336,0.104955608319969
Elevation,7002,StereoTypical,3.327185503235,10.0365080578917,-0.753920409403803
Elevation,7003,StereoTypical,1.15451325896144,2.22609206373179,-0.196700910360268
Elevation,7004,StereoTypical,2.32529771708428,5.01169186933455,-0.514589384144308
Elevation,7011,StereoTypical,0.25481374514824,1.19318169091479,0.0572344641093968
Elevation,7012,StereoTypical,1.43642027620099,2.70648478218617,-0.26806461747302
Elevation,7013,StereoTypical,2.55348451796494,5.87050460918225,-0.558115960155831
Elevation,7014,StereoTypical,2.78758458369216,6.90472800288838,-0.607668019960157
Elevation,7015,StereoTypical,1.24872737631947,2.37631711899258,-0.214242591605838
Elevation,7016,StereoTypical,2.99781556154685,7.98789606698178,-0.670595579853164
Elevation,7017,StereoTypical,0.279585536684772,1.21384611563694,0.0536450476165808
Elevation,7018,StereoTypical,2.75732880551455,6.76143190181356,-0.601580306634899
Elevation,7019,StereoTypical,1.8093259286075,3.5047849595712,-0.370642657135912
Elevation,7020,StereoTypical,2.73129289971283,6.64050472047534,-0.621142721353951
Elevation,7043,StereoTypical,1.63000076284992,3.09513162368865,-0.330511263998128
Elevation,7044,StereoTypical,1.72092693962978,3.29648139652775,-0.346759849477997
Elevation,7049,StereoTypical,1.50914497452702,2.84641294039054,-0.296821521917577
Elevation,7051,StereoTypical,3.25863535749202,9.57077237853075,-0.739586293037912
Elevation,7007,StereoDeficient,1.66398593045793,3.1689083395203,-0.301790020455457
Elevation,7008,StereoDeficient,1.60884129952841,3.0500677721104,-0.362834717411875
Elevation,7021,StereoDeficient,1.52190399312784,2.87169791231511,-0.459073670034727
Elevation,7048,StereoDeficient,1.4981304319014,2.82476417993114,-0.485390825779171
Elevation,7050,StereoDeficient,1.54292438665621,2.91384550572407,-0.435804250488046
Elevation,31624,StereoBlind,1.24776275678004,2.37472878902159,-0.226163401580827
Elevation,7000,StereoBlind,2.01957120644115,4.05463263411777,-0.299758186959607
Elevation,7001,StereoBlind,1.20882394670506,2.31149132265873,-0.490596539766155
Elevation,7005,StereoBlind,1.85450835699632,3.61628493917804,-0.461576762175909
Elevation,7006,StereoBlind,1.64973868264317,3.13776799183595,-0.326234463113416
Elevation,7010,StereoBlind,1.31022110484819,2.47979541974433,-0.3180030215215
Elevation,7045,StereoBlind,0.878414770606422,1.8383542124527,-0.151935131983698
Elevation,7046,StereoBlind,2.90528119645911,7.4916380363424,-0.711068025084965
Elevation,7047,StereoBlind,1.88999463822609,3.70633847293463,-0.219519078122914
Elevation,7052,StereoBlind,1.08545475720152,2.12204427469284,-0.24509516074806
Elevation,7053,StereoBlind,0.692842086876194,1.6164647944814,-0.290855809158886
