ID,Gender,Age,Notes,Date,Time,Lamp1 Estimate Template Number,Lamp1 Estimate Template Size (cm),Lamp1 Estimate Distance (cm),Lamp1 Adjusted Template Number,Lamp1 Adjusted Template Size (cm),Lamp1 Adjusted Distance (cm),Lamp1 Width (cm),Lamp1 Distance (cm),Lamp2 Estimate Template Number,Lamp2 Estimate Template Size (cm),Lamp2 Estimate Distance (cm),Lamp2 Adjusted Template Number,Lamp2 Adjusted Template Size (cm),Lamp2 Adjusted Distance (cm),Lamp2 Width (cm),Lamp2 Distance (cm),Lamp3 Estimate Template Number,Lamp3 Estimate Template Size (cm),Lamp3 Estimate Distance (cm),Lamp3 Adjusted Template Number,Lamp3 Adjusted Template Size (cm),Lamp3 Adjusted Distance (cm),Lamp3 Width (cm),Lamp3 Distance (cm),Lamp4 Estimate Template Number,Lamp4 Estimate Template Size (cm),Lamp4 Estimate Distance (cm),Lamp4 Adjusted Template Number,Lamp4 Adjusted Template Size (cm),Lamp4 Adjusted Distance (cm),Lamp4 Width (cm),Lamp4 Distance (cm),Lamp1a Estimate Template Number,Lamp1a Estimate Template Size (cm),Lamp1a Estimate Distance (cm),Lamp1a Adjusted Template Number,Lamp1a Adjusted Template Size (cm),Lamp1a Adjusted Distance (cm),Lamp1a Width (cm),Lamp1a Distance (cm),Lamp1a 1st Caliper Aperture (cm),Lamp1a 1st Caliper Distance (cm),Lamp2a Estimate Template Number,Lamp2a Estimate Template Size (cm),Lamp2a Estimate Distance (cm),Lamp2a Adjusted Template Number,Lamp2a Adjusted Template Size (cm),Lamp2a Adjusted Distance (cm),Lamp2a Width (cm),Lamp2a Distance (cm),Lamp2a 1st Caliper Aperture (cm),Lamp2a 1st Caliper Distance (cm),Lamp3a Estimate Template Number,Lamp3a Estimate Template Size (cm),Lamp3a Estimate Distance (cm),Lamp3a Adjusted Template Number,Lamp3a Adjusted Template Size (cm),Lamp3a Adjusted Distance (cm),Lamp3a Width (cm),Lamp3a Distance (cm),Lamp3a 1st Caliper Aperture (cm),Lamp3a 1st Caliper Distance (cm),Lamp4a Estimate Template Number,Lamp4a Estimate Template Size (cm),Lamp4a Estimate Distance (cm),Lamp4a Adjusted Template Number,Lamp4a Adjusted Template Size (cm),Lamp4a Adjusted Distance (cm),Lamp4a Width (cm),Lamp4a Distance (cm),Lamp4a 1st Caliper Aperture (cm),Lamp4a 1st Caliper Distance (cm),Lamp5 Estimate Template Number,Lamp5 Estimate Template Size (cm),Lamp5 Estimate Distance (cm),Lamp5 Adjusted Template Number,Lamp5 Adjusted Template Size (cm),Lamp5 Adjusted Distance (cm),Lamp5 Width (cm),Lamp5 Distance (cm),Lamp5 1st Caliper Aperture (cm),Lamp5 1st Caliper Distance (cm),Lamp5 2nd Caliper Aperture (cm),Lamp5 2nd Caliper Distance (cm),Lamp6 Estimate Template Number,Lamp6 Estimate Template Size (cm),Lamp6 Estimate Distance (cm),Lamp6 Adjusted Template Number,Lamp6 Adjusted Template Size (cm),Lamp6 Adjusted Distance (cm),Lamp6 Width (cm),Lamp6 Distance (cm),Lamp6 1st Caliper Aperture (cm),Lamp6 1st Caliper Distance (cm),Lamp6 2nd Caliper Aperture (cm),Lamp6 2nd Caliper Distance (cm),Lamp7 Estimate Template Number,Lamp7 Estimate Template Size (cm),Lamp7 Estimate Distance (cm),Lamp7 Adjusted Template Number,Lamp7 Adjusted Template Size (cm),Lamp7 Adjusted Distance (cm),Lamp7 Width (cm),Lamp7 Distance (cm),Lamp7 1st Caliper Aperture (cm),Lamp7 1st Caliper Distance (cm),Lamp7 2nd Caliper Aperture (cm),Lamp7 2nd Caliper Distance (cm),Stick1 Estimate Template Number,Stick1 Estimate Template Size (cm),Stick1 Estimate Distance (cm),Stick1 Adjusted Template Number,Stick1 Adjusted Template Size (cm),Stick1 Adjusted Distance (cm),Stick1 Width (cm),Stick1 Height (cm),Stick1 Distance (cm),Stick2 Estimate Template Number,Stick2 Estimate Template Size (cm),Stick2 Estimate Distance (cm),Stick2 Adjusted Template Number,Stick2 Adjusted Template Size (cm),Stick2 Adjusted Distance (cm),Stick2 Width (cm),Stick2 Height (cm),Stick2 Distance (cm),Stick3 Estimate Template Number,Stick3 Estimate Template Size (cm),Stick3 Estimate Distance (cm),Stick3 Adjusted Template Number,Stick3 Adjusted Template Size (cm),Stick3 Adjusted Distance (cm),Stick3 Width (cm),Stick3 Height (cm),Stick3 Distance (cm),Stick4 Estimate Template Number,Stick4 Estimate Template Size (cm),Stick4 Estimate Distance (cm),Stick4 Adjusted Template Number,Stick4 Adjusted Template Size (cm),Stick4 Adjusted Distance (cm),Stick4 Width (cm),Stick4 Height (cm),Stick4 Distance (cm),Stick7 Estimate Template Number,Stick7 Estimate Template Size (cm),Stick7 Estimate Distance (cm),Stick7 Adjusted Template Number,Stick7 Adjusted Template Size (cm),Stick7 Adjusted Distance (cm),Stick7 Width (cm),Stick7 Height (cm),Stick7 Distance (cm),Stick7 1st Caliper Aperture (cm),Stick7 1st Caliper Distance (cm),Stick7 2nd Caliper Aperture (cm),Stick7 2nd Caliper Distance (cm),Stick8 Estimate Template Number,Stick8 Estimate Template Size (cm),Stick8 Estimate Distance (cm),Stick8 Adjusted Template Number,Stick8 Adjusted Template Size (cm),Stick8 Adjusted Distance (cm),Stick8 Width (cm),Stick8 Height (cm),Stick8 Distance (cm),Stick8 1st Caliper Aperture (cm),Stick8 1st Caliper Distance (cm),Stick8 2nd Caliper Aperture (cm),Stick8 2nd Caliper Distance (cm),Stick9 Estimate Template Number,Stick9 Estimate Template Size (cm),Stick9 Estimate Distance (cm),Stick9 Adjusted Template Number,Stick9 Adjusted Template Size (cm),Stick9 Adjusted Distance (cm),Stick9 Width (cm),Stick9 Height (cm),Stick9 Distance (cm),Stick9 1st Caliper Aperture (cm),Stick9 1st Caliper Distance (cm),Stick9 2nd Caliper Aperture (cm),Stick9 2nd Caliper Distance (cm),Stick9a Estimate Template Number,Stick9a Estimate Template Size (cm),Stick9a Estimate Distance (cm),Stick9a Adjusted Template Number,Stick9a Adjusted Template Size (cm),Stick9a Adjusted Distance (cm),Stick9a Width (cm),Stick9a Height (cm),Stick9a Distance (cm),Stick9a 1st Caliper Aperture (cm),Stick9a 1st Caliper Distance (cm),Stick9a 2nd Caliper Aperture (cm),Stick9a 2nd Caliper Distance (cm),Stick10 Estimate Template Number,Stick10 Estimate Template Size (cm),Stick10 Estimate Distance (cm),Stick10 Adjusted Template Number,Stick10 Adjusted Template Size (cm),Stick10 Adjusted Distance (cm),Stick10 Width (cm),Stick10 Height (cm),Stick10 Distance (cm),Stick10 1st Caliper Aperture (cm),Stick10 1st Caliper Distance (cm),Stick10 2nd Caliper Aperture (cm),Stick10 2nd Caliper Distance (cm),MoonBallBall1 Estimate Template Number,MoonBall1 Estimate Template Size (cm),MoonBall1 Estimate Distance (cm),MoonBall1 Adjusted Template Number,MoonBall1 Adjusted Template Size (cm),MoonBall1 Adjusted Distance (cm),MoonBall1 Width (cm),MoonBall1 Distance (cm),MoonBall2 Estimate Template Number,MoonBall2 Estimate Template Size (cm),MoonBall2 Estimate Distance (cm),MoonBall2 Adjusted Template Number,MoonBall2 Adjusted Template Size (cm),MoonBall2 Adjusted Distance (cm),MoonBall2 Width (cm),MoonBall2 Distance (cm),MoonBall3 Estimate Template Number,MoonBall3 Estimate Template Size (cm),MoonBall3 Estimate Distance (cm),MoonBall3 Adjusted Template Number,MoonBall3 Adjusted Template Size (cm),MoonBall3 Adjusted Distance (cm),MoonBall3 Width (cm),MoonBall3 Distance (cm),MoonBall4 Estimate Template Number,MoonBall4 Estimate Template Size (cm),MoonBall4 Estimate Distance (cm),MoonBall4 Adjusted Template Number,MoonBall4 Adjusted Template Size (cm),MoonBall4 Adjusted Distance (cm),MoonBall4 Width (cm),MoonBall4 Distance (cm),BlueBall Estimate Template Number,BlueBall Estimate Template Size (cm),BlueBall Estimate Distance (cm),BlueBall Adjusted Template Number,BlueBall Adjusted Template Size (cm),BlueBall Adjusted Distance (cm),BlueBall Width (cm),BlueBall Distance (cm),BlueBall 1st Caliper Aperture (cm),BlueBall 1st Caliper Distance (cm),BlueBall 2nd Caliper Aperture (cm),BlueBall 2nd Caliper Distance (cm)
29,Female,22,,5/31/2024,14:47,11,1.44,49.00,2,0.39,44.50,40.64,6280,14,2.15,49.00,2,0.39,17.00,40.64,2020,12,1.63,49.00,2,0.39,47.00,40.64,5027,13,1.90,49.00,2,0.39,31.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,13,7.7,49,2,1.66,38.00,14,259.08,6280,16,11,49,2,1.66,15.00,14,259.08,2020,14,9,49,2,1.66,30.75,14,259.08,5027,15,10.34,49,2,1.66,20.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
30,Female,30,,5/31/2024,15:23,4,0.52,48.00,1,0.3,25.75,40.64,6280,12,1.63,48.00,7,0.78,32.00,40.64,2020,3,0.49,48.00,2,0.39,36.25,40.64,5027,8,0.96,48.00,4,0.52,33.75,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,7,3.32,48,4,2.22,43.50,14,259.08,6280,16,11,48,10,5.17,38.50,14,259.08,2020,9,4.15,48,5,2.77,45.75,14,259.08,5027,12,6.89,48,8,4.07,45.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
31,Female,19,,7/9/2024,10:12,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,4,0.52,58,1,0.3,44,55,6060,9,0.98,58,9,0.98,48,55,2080,5,0.65,58,3,0.49,55.00,55,4720,7,0.78,58,6,0.72,57.00,55,3270,,,,,,,26.74,1520,,,,
32,Non binary,31,Did stick task at new location ,7/9/2024,11:00,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,4,0.52,54,1,0.3,38,40.64,6670,,,13,1.90,54,8,0.96,48,40.64,2250,,,4,0.52,54,4,0.52,53,40.64,4890,,,7,0.78,54,5,0.65,55,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,7,3.32,54,2,1.66,41.5,14,259.08,6670,12,6.89,54,11,6.1,47.5,14,259.08,2250,10,5.17,54,6,3.05,51.5,14,259.08,4890,10,5.17,54,9,4.15,47,14,259.08,3230,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
33,Male,24,,7/10/2024,10:29,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,11,1.44,67.00,2,0.39,59.50,55,6060,14,2.15,67.00,9,0.98,58.50,55,2080,12,1.63,67.00,7,0.78,64.75,55,4720,13,1.90,67.00,8,0.96,65.50,55,3270,,,,,,,26.74,1520,,,,
34,Female,19,,7/10/2024,11:04,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,4,0.52,52.00,1,0.3,55.00,55,6060,8,0.96,52.00,6,0.72,39.50,55,2080,5,0.65,52.00,1,0.3,37.50,55,4720,7,0.78,52.00,4,0.52,43.00,55,3270,,,,,,,26.74,1520,,,,
35,Female,22,,7/15/2024,11:48,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,6,0.72,58.00,1,0.3,51.00,55,6060,12,1.63,58.00,8,0.96,51.50,55,2080,7,0.78,58.00,4,0.52,59.00,55,4720,10,1.22,58.00,6,0.72,62.50,55,3270,,,,,,,26.74,1520,,,,
36,Female,29,,7/16/2024,10:41,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,6,0.72,72.00,1,0.3,45.50,55,6060,16,2.7,72.00,8,0.96,49.75,55,2080,8,0.96,72.00,3,0.49,60.30,55,4720,13,1.90,72.00,6,0.72,60.00,55,3270,,,,,,,26.74,1520,,,,
37,Male,20,,7/16/2024,13:46,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,9,0.98,59.50,2,0.39,51.00,55,6060,16,2.7,59.50,10,1.22,56.25,55,2080,10,1.22,59.50,5,0.65,65.50,55,4720,12,1.63,59.50,8,0.96,75.75,55,3270,,,,,,,26.74,1520,,,,
38,Male,21,,7/18/2024,14:33,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,9,0.98,73.00,3,0.49,56.50,55,6060,14,2.15,73.00,9,0.98,47.50,55,2080,10,1.22,73.00,4,0.52,58.00,55,4720,12,1.63,73.00,7,0.78,63.50,55,3270,,,,,,,26.74,1520,,,,
39,Male,21,,7/17/2024,10:53,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,13,1.90,51.00,1,0.3,27.00,55,6060,17,3.3,51.00,5,0.65,28.00,55,2080,13,1.90,51.00,1,0.3,30.00,55,4720,16,2.7,51.00,5,0.65,40.00,55,3270,,,,,,,26.74,1520,,,,
40,Male,23,,7/18/2024,11:31,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,10,1.22,76.00,4,0.52,72.25,55,6060,16,2.7,76.00,11,1.44,73.00,55,2080,11,1.44,76.00,6,0.72,61.50,55,4720,13,1.90,76.00,7,0.78,56.00,55,3270,,,,,,,26.74,1520,,,,
41,Female,20,,7/18/2024,15:18,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,8,0.96,74.00,3,0.49,65.00,55,6060,14,2.15,74.00,10,1.22,61.50,55,2080,10,1.22,74.00,5,0.65,61.25,55,4720,13,1.90,74.00,8,0.96,69.50,55,3270,,,,,,,26.74,1520,,,,
42,Male,18,,7/19/2024,13:50,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,10,1.22,74.00,6,0.72,59.50,55,6060,13,1.90,74.00,10,1.22,53.00,55,2080,11,1.44,74.00,7,0.78,63.00,55,4720,12,1.63,74.00,9,0.98,68.50,55,3270,,,,,,,26.74,1520,,,,
43,Female,22,,7/19/2024,14:34,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,9,0.98,63.00,1,0.3,47.50,55,6060,14,2.15,63.00,10,1.22,51.75,55,2080,11,1.44,63.00,5,0.65,62.50,55,4720,13,1.90,63.00,9,0.98,71.25,55,3270,,,,,,,26.74,1520,,,,
44,Female,22,,7/19/2024,15:11,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,7,0.78,66.00,3,0.49,48.50,55,6060,12,1.63,66.00,9,0.98,49.00,55,2080,6,0.72,66.00,5,0.65,56.50,55,4720,8,0.96,66.00,8,0.96,62.00,55,3270,,,,,,,26.74,1520,,,,
45,Male,19,,7/25/2024,11:28,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,10,1.22,72.00,3,0.49,53.50,40.64,6670,,,17,3.3,72.00,10,1.22,53.00,40.64,2250,,,12,1.63,72.00,4,0.52,60.00,40.64,4890,,,14,2.15,72.00,7,0.78,58.00,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,10,1.22,72.00,3,0.49,52.75,55,6060,15,2.44,72.00,11,1.44,55.50,55,2080,10,1.22,72.00,5,0.65,60.75,55,4720,13,1.90,72.00,8,0.96,67.00,55,3270,,,,,,,26.74,1520,,,,
46,Male,41,,7/25/2024,13:45,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,10,1.22,74.00,2,0.39,30.50,40.64,6670,,,15,2.44,74.00,9,0.98,37.00,40.64,2250,,,11,1.44,74.00,5,0.65,54.00,40.64,4890,,,14,2.15,74.00,8,0.96,59.00,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,11,1.44,74.00,2,0.39,32.00,55,6060,16,2.7,74.00,8,0.96,41.00,55,2080,12,1.63,74.00,5,0.65,57.00,55,4720,13,1.90,74.00,9,0.98,64.00,55,3270,,,,,,,26.74,1520,,,,
47,Male,33,No Adjusted Data,7/26/2024,14:42,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,13,1.90,59.00,,,,40.64,6670,,,15,2.44,59.00,,,,40.64,2250,,,13,1.90,59.00,,,,40.64,4890,,,12,1.63,59.00,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,11,1.44,59.00,5,0.65,50.50,55,6060,15,2.44,59.00,10,1.22,48.00,55,2080,12,1.63,59.00,6,0.72,43.00,55,4720,13,1.90,59.00,10,1.22,44.00,55,3270,,,,,,,26.74,1520,,,,
48,Female,18,,7/26/2024,15:10,,,,,,,40.64,6280,,,,,,,40.64,2020,,,,,,,40.64,5027,,,,,,,40.64,3421,8,0.96,56.00,2,0.39,45.00,40.64,6670,,,15,2.44,56.00,9,0.98,40.00,40.64,2250,,,9,0.98,56.00,5,0.65,48.25,40.64,4890,,,11,1.44,56.00,7,0.78,51.50,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,,,,,,,14,259.08,6280,,,,,,,14,259.08,2020,,,,,,,14,259.08,5027,,,,,,,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,8,0.96,56.00,2,0.39,41.50,55,6060,16,2.7,56.00,9,0.98,41.00,55,2080,10,1.22,56.00,4,0.52,57.25,55,4720,13,1.90,56.00,7,0.78,59.50,55,3270,,,,,,,26.74,1520,,,,
