ID,Measurement_Type,Reported_Visual_Angle,Task,Disparity_VA,Real_Visual_Angle,Ratio_Visual_Angle,Distance
9,Lamp4_Adjusted_VA,1.224356367,Adjusted,,0.6806,1.798936772,3421
9,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
9,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
9,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
9,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
9,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
9,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
9,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
9,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
9,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
9,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
9,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
9,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
9,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
9,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
9,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
9,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
10,Stick1_Perceptual_VA,9.527283381,Perceptual,,2.363,4.031859239,6280
10,Stick1_Adjusted_VA,4.120542827,Adjusted,,2.363,1.743776059,6280
10,Stick2_Perceptual_VA,13.72738383,Perceptual,,7.339,1.870470613,2020
10,Stick2_Adjusted_VA,9.849643881,Adjusted,,7.339,1.342096182,2020
10,Stick3_Perceptual_VA,10.93774254,Perceptual,,2.952,3.705197337,5027
10,Stick3_Adjusted_VA,5.354465529,Adjusted,,2.952,1.813843336,5027
10,Stick4_Perceptual_VA,11.63125306,Perceptual,,4.337,2.68186605,3421
10,Stick4_Adjusted_VA,6.419693981,Adjusted,,4.337,1.480215352,3421
10,Lamp1_Perceptual_VA,1.294405148,Perceptual,,0.3708,3.490844519,6280
10,Lamp1_Adjusted_VA,0.726668439,Adjusted,,0.3708,1.959731495,6280
10,Lamp2_Perceptual_VA,2.588480059,Perceptual,,1.1527,2.245579994,2020
10,Lamp2_Adjusted_VA,1.570707264,Adjusted,,1.1527,1.362633178,2020
10,Lamp3_Perceptual_VA,1.729352415,Perceptual,,0.4632,3.73348967,5027
10,Lamp3_Adjusted_VA,0.93103593,Adjusted,,0.4632,2.010008484,5027
10,Lamp4_Perceptual_VA,2.015754671,Perceptual,,0.6806,2.961731812,3421
10,Lamp4_Adjusted_VA,1.100943849,Adjusted,,0.6806,1.61760777,3421
10,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
10,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
10,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
10,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
10,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
10,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
10,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
10,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
10,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
10,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
10,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
10,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
10,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
10,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
10,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
