DmoonGroup,Dmoon_m,StartDmoon_m,DmoonLowerBound_m,Dmoon_km,Dmoon_log2_m,Iteration,TransformID,TransformLabel
10/17/2024,346465769.288404,357252000,1519.07293145392,346465.769288404,28.3681375806753,20,2,absElevation
11/15/2024,565055838.105624,361929000,1519.07293145392,565055.838105624,29.0738181989766,20,2,absElevation
01/12/2025,290667529.205634,379144000,1519.07293145392,290667.529205634,28.1147946744998,20,2,absElevation
01/13/2025,454100251.966131,381133000,1519.07293145392,454100.251966131,28.7584355963681,20,2,absElevation
05/13/2025,341449494.713233,404420000,1519.07293145392,341449.494713233,28.3470969580673,20,2,absElevation
08/07/2025,2709068.67733542,386624000,1519.07293145392,2709.06867733542,21.3693655369488,20,2,absElevation
08/09/2025,3958546029.96157,379992000,1519.07293145392,3958546.02996157,31.8823234811228,20,2,absElevation
05/22/2024,2618724139.84994,395236000,1519.07293145392,2618724.13984994,31.2862169461178,21,2,absElevation
07/20/2024,665210867.494067,374538000,1519.07293145392,665210.867494067,29.3092364971043,21,2,absElevation
07/21/2024,1121927093.40831,370233000,1519.07293145392,1121927.09340831,30.0633317818084,21,2,absElevation
08/19/2024,1823354033.39029,363196000,1519.07293145392,1823354.03339029,30.7639475649118,21,2,absElevation
08/20/2024,1326837480.51609,360805000,1519.07293145392,1326837.48051609,30.3053445250619,21,2,absElevation
10/16/2024,254714971.27315,357488000,1519.07293145392,254714.97127315,27.9243085178738,21,2,absElevation
10/17/2024,29073759.5732357,357252000,1519.07293145392,29073.7595732357,24.7932143048966,21,2,absElevation
11/15/2024,140336329.658916,361929000,1519.07293145392,140336.329658916,27.0643132950274,21,2,absElevation
01/12/2025,6412960.54177489,379144000,1519.07293145392,6412.96054177489,22.6125590997868,21,2,absElevation
01/13/2025,6701444299.10237,381133000,1519.07293145392,6701444.29910237,32.6418249135265,21,2,absElevation
05/13/2025,211737454.542823,404420000,1519.07293145392,211737.454542823,27.6577012514189,21,2,absElevation
08/07/2025,258580251.416923,386624000,1519.07293145392,258580.251416923,27.9460368553189,21,2,absElevation
08/09/2025,248672848.806977,379992000,1519.07293145392,248672.848806977,27.8896737554761,21,2,absElevation
05/22/2024,2419624531.17173,395236000,1519.07293145392,2419624.53117173,31.1721360465097,22,2,absElevation
07/20/2024,420696152.830353,374538000,1519.07293145392,420696.152830353,28.6482033841513,22,2,absElevation
07/21/2024,187101080.465649,370233000,1519.07293145392,187101.080465649,27.4792426489333,22,2,absElevation
08/19/2024,12403558.4436499,363196000,1519.07293145392,12403.5584436499,23.564250737447,22,2,absElevation
08/20/2024,3335561003.69224,360805000,1519.07293145392,3335561.00369224,31.635282280817,22,2,absElevation
10/16/2024,169131522.175749,357488000,1519.07293145392,169131.522175749,27.3335703286543,22,2,absElevation
10/17/2024,66039966.1273585,357252000,1519.07293145392,66039.9661273585,25.9768360444884,22,2,absElevation
11/15/2024,758480804.802069,361929000,1519.07293145392,758480.804802069,29.4985374291331,22,2,absElevation
01/12/2025,279332398.895233,379144000,1519.07293145392,279332.398895233,28.0574076761277,22,2,absElevation
01/13/2025,2494860729.41758,381133000,1519.07293145392,2494860.72941758,31.2163121362475,22,2,absElevation
08/07/2025,1681401024.01939,386624000,1519.07293145392,1681401.02401939,30.6470167108412,22,2,absElevation
08/09/2025,112707699.82412,379992000,1519.07293145392,112707.69982412,26.748010838217,22,2,absElevation
05/22/2024,1579258022.0464,395236000,1519.07293145392,1579258.0220464,30.5565997545802,23,2,absElevation
07/20/2024,276146845.101436,374538000,1519.07293145392,276146.845101436,28.0408604042246,23,2,absElevation
08/19/2024,724098583.958763,363196000,1519.07293145392,724098.583958763,29.4316108885981,23,2,absElevation
08/20/2024,321009199.006589,360805000,1519.07293145392,321009.199006589,28.2580393996584,23,2,absElevation
10/16/2024,123853617.085154,357488000,1519.07293145392,123853.617085153,26.8840607615113,23,2,absElevation
10/17/2024,165884797.135893,357252000,1519.07293145392,165884.797135893,27.3056064326038,23,2,absElevation
11/15/2024,174951265.846141,361929000,1519.07293145392,174951.265846141,27.3823778622211,23,2,absElevation
01/12/2025,46644371.6885319,379144000,1519.07293145392,46644.3716885319,25.475199673972,23,2,absElevation
01/13/2025,9259802132.58078,381133000,1519.07293145392,9259802.13258078,33.1083342196754,23,2,absElevation
05/13/2025,2441804451.69674,404420000,1519.07293145392,2441804.45169674,31.1853005228359,23,2,absElevation
08/07/2025,334978509.443126,386624000,1519.07293145392,334978.509443126,28.3194933014921,23,2,absElevation
08/09/2025,121868228.040582,379992000,1519.07293145392,121868.228040582,26.8607468126794,23,2,absElevation
05/22/2024,1155542248.92558,395236000,1519.07293145392,1155542.24892558,30.1059228625596,24,2,absElevation
07/20/2024,547421210.952431,374538000,1519.07293145392,547421.210952431,29.0280760950495,24,2,absElevation
07/21/2024,1624253206.67557,370233000,1519.07293145392,1624253.20667557,30.5971294074085,24,2,absElevation
08/19/2024,4375418779.57734,363196000,1519.07293145392,4375418.77957734,32.026773960601,24,2,absElevation
08/20/2024,183711162.13006,360805000,1519.07293145392,183711.16213006,27.4528640451043,24,2,absElevation
10/16/2024,957929529.584771,357488000,1519.07293145392,957929.529584771,29.8353442866072,24,2,absElevation
10/17/2024,226974739.073107,357252000,1519.07293145392,226974.739073107,27.7579565022456,24,2,absElevation
11/15/2024,67923727.617457,361929000,1519.07293145392,67923.727617457,26.0174122995991,24,2,absElevation
01/12/2025,371501869.520454,379144000,1519.07293145392,371501.869520454,28.4687942300003,24,2,absElevation
01/13/2025,3630357625.95637,381133000,1519.07293145392,3630357.62595637,31.7574645288685,24,2,absElevation
08/07/2025,24704234.4000771,386624000,1519.07293145392,24704.2344000771,24.5582550106536,24,2,absElevation
08/09/2025,136831539.918109,379992000,1519.07293145392,136831.539918109,27.027825571478,24,2,absElevation
05/22/2024,5080352617.60474,395236000,1519.07293145392,5080352.61760474,32.2422814891756,25,2,absElevation
07/21/2024,473657067.764346,370233000,1519.07293145392,473657.067764346,28.8192676711904,25,2,absElevation
08/20/2024,931152411.639295,360805000,1519.07293145392,931152.411639295,29.7944420874843,25,2,absElevation
08/19/2024,3543845684.02243,363196000,1519.07293145392,3543845.68402243,31.72266863741,25,2,absElevation
