ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1027,0.551984006,360805000,5,Perceptual,1.831062194,3.317237773,MoonStudy
1027,0.551984006,360805000,5,Adjusted,1.195694611,2.166176191,MoonStudy
1027,0.551984006,360805000,17.5,Perceptual,0.901685461,1.633535486,MoonStudy
1027,0.551984006,360805000,17.5,Adjusted,1.208833143,2.189978568,MoonStudy
1028,0.551984006,360805000,6,Perceptual,3.510578126,6.359927261,MoonStudy
1028,0.551984006,360805000,6,Adjusted,3.053543676,5.53194231,MoonStudy
1028,0.551984006,360805000,19,Perceptual,2.487882882,4.507164801,MoonStudy
1028,0.551984006,360805000,19,Adjusted,1.48716865,2.69422417,MoonStudy
1029,0.551984006,360805000,7,Perceptual,1.212839393,2.197236479,MoonStudy
1029,0.551984006,360805000,7,Adjusted,1.259424081,2.281631474,MoonStudy
1029,0.551984006,360805000,18.5,Perceptual,1.784478379,3.232844359,MoonStudy
1029,0.551984006,360805000,18.5,Adjusted,1.002650554,1.816448562,MoonStudy
1030,0.551984006,360805000,8,Perceptual,1.79346056,3.249116897,MoonStudy
1030,0.551984006,360805000,8,Adjusted,1.090255721,1.975158175,MoonStudy
1030,0.551984006,360805000,18,Perceptual,0.715042048,1.295403563,MoonStudy
1030,0.551984006,360805000,18,Adjusted,0.833378464,1.50978734,MoonStudy
1031,0.551984006,360805000,9,Perceptual,1.672108365,3.029269593,MoonStudy
1031,0.551984006,360805000,9,Adjusted,1.282530867,2.323492808,MoonStudy
1031,0.551984006,360805000,19,Perceptual,1.341498429,2.430321195,MoonStudy
1031,0.551984006,360805000,19,Adjusted,1.114049502,2.018264099,MoonStudy
1032,0.548350228,363196000,14,Perceptual,2.890949217,5.272085375,MoonStudy
1032,0.548350228,363196000,14,Adjusted,1.384107953,2.524131262,MoonStudy
1032,0.548350228,363196000,25,Perceptual,2.019080122,3.68209954,MoonStudy
1032,0.548350228,363196000,25,Adjusted,0.966262677,1.762126881,MoonStudy
1033,0.548350228,363196000,15,Perceptual,1.594214483,2.907292459,MoonStudy
1033,0.548350228,363196000,15,Adjusted,1.002650554,1.828485705,MoonStudy
1033,0.548350228,363196000,27,Perceptual,1.184717974,2.160513325,MoonStudy
1033,0.548350228,363196000,27,Adjusted,1.037781973,1.892553189,MoonStudy
1034,0.548350228,363196000,15,Perceptual,1.893079607,3.452318447,MoonStudy
1034,0.548350228,363196000,15,Adjusted,1.489606357,2.716523639,MoonStudy
1034,0.548350228,363196000,25,Perceptual,1.736833778,3.167380425,MoonStudy
1034,0.548350228,363196000,25,Adjusted,1.655096307,3.018319721,MoonStudy
1035,0.548350228,363196000,15,Perceptual,2.034589559,3.710383356,MoonStudy
1035,0.548350228,363196000,15,Adjusted,2.654695251,4.841240353,MoonStudy
1035,0.548350228,363196000,27,Perceptual,2.239458961,4.083993854,MoonStudy
1035,0.548350228,363196000,27,Adjusted,3.240870528,5.910220079,MoonStudy
1036,0.557105583,357488000,16,Perceptual,2.565944512,4.605849577,MoonStudy
1036,0.557105583,357488000,16,Adjusted,0.928076632,1.665890023,MoonStudy
1036,0.557105583,357488000,39,Perceptual,0.785758375,1.410429907,MoonStudy
1036,0.557105583,357488000,39,Adjusted,1.01856481,1.828315569,MoonStudy
1037,0.557105583,357488000,16,Perceptual,1.710788522,3.070851515,MoonStudy
1037,0.557105583,357488000,16,Adjusted,0.876271312,1.572899895,MoonStudy
