ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1088,0.55026980085631,361929000,30,Perceptual,0.738803762095228,1.34262094875192,MoonStudy
1089,0.55026980085631,361929000,14,Perceptual,1.37334778162488,2.49577167325506,MoonStudy
1089,0.55026980085631,361929000,NaN,Perceptual,1.21327705058698,2.20487667812938,MoonStudy
1090,0.55026980085631,361929000,13,Perceptual,1.09869716218595,1.99665175242435,MoonStudy
1090,0.55026980085631,361929000,29,Perceptual,1.3955974191686,2.53620572489498,MoonStudy
1082,0.55026980085631,361929000,15,Perceptual,1.01302942083891,1.84096859261125,MoonStudy
1082,0.55026980085631,361929000,31,Perceptual,0.884803314550749,1.60794452680094,MoonStudy
1091,0.55026980085631,361929000,16,Perceptual,2.81213724254563,5.11046987890211,MoonStudy
1091,0.55026980085631,361929000,NaN,Perceptual,1.27087245618219,2.30954425302735,MoonStudy
1092,0.55026980085631,361929000,17,Perceptual,1.79218337492071,3.25691755595488,MoonStudy
1092,0.55026980085631,361929000,32,Perceptual,1.64236654717519,2.98465688035106,MoonStudy
31459,0.55026980085631,361929000,17,Perceptual,1.16201541492958,2.11171940223013,MoonStudy
31459,0.55026980085631,361929000,NaN,Perceptual,0.90562411142188,1.64578196007228,MoonStudy
5000,0.525285207232985,379144000,5,Perceptual,1.61266361705449,3.07007240038117,MoonStudy
5000,0.525285207232985,379144000,18,Perceptual,0.76068172894929,1.44813087913952,MoonStudy
6875341,0.525285207232985,379144000,6,Perceptual,0.981040606673591,1.86763417885183,MoonStudy
6875341,0.525285207232985,379144000,17,Perceptual,0.729209168771621,1.38821569450401,MoonStudy
32437,0.525285207232985,379144000,6,Perceptual,1.05773819557891,2.01364550346029,MoonStudy
32437,0.525285207232985,379144000,20,Perceptual,0.49989289178231,0.951659945680876,MoonStudy
6875476,0.525285207232985,379144000,7,Perceptual,0.90484657863897,1.72258149702212,MoonStudy
6875476,0.525285207232985,379144000,21,Perceptual,0.364608275568288,0.694114874258337,MoonStudy
6873834,0.525285207232985,379144000,7,Perceptual,2.73971079323711,5.21566333015341,MoonStudy
6873834,0.525285207232985,379144000,21,Perceptual,2.3796364122315,4.530179756568,MoonStudy
5001,0.525285207232985,379144000,7,Perceptual,1.13542935234248,2.16154831072347,MoonStudy
5001,0.525285207232985,379144000,21,Perceptual,0.506694067560163,0.964607532409388,MoonStudy
5002,0.525285207232985,379144000,8,Perceptual,0.982189309936894,1.86982099707456,MoonStudy
5002,0.525285207232985,379144000,20,Perceptual,0.957523618089764,1.82286423623779,MoonStudy
5003,0.525285207232985,379144000,8,Perceptual,1.68735647370734,3.21226726066728,MoonStudy
5003,0.525285207232985,379144000,21,Perceptual,1.36332429464905,2.59539822533849,MoonStudy
5004,0.525285207232985,379144000,9,Perceptual,0.539738859056607,1.02751581735903,MoonStudy
5004,0.525285207232985,379144000,22,Perceptual,0.585143300652731,1.11395351057963,MoonStudy
5005,0.525285207232985,379144000,9,Perceptual,2.24172275062063,4.26762969859599,MoonStudy
5005,0.525285207232985,379144000,24,Perceptual,1.57761019122472,3.00334022260976,MoonStudy
5006,0.525285207232985,379144000,10,Perceptual,1.06456192159728,2.02663601970635,MoonStudy
5006,0.525285207232985,379144000,19,Perceptual,0.890438778312539,1.69515296842843,MoonStudy
5007,0.525285207232985,379144000,29,Perceptual,0.906639570425287,1.72599486515362,MoonStudy
5008,0.525285207232985,379144000,10,Perceptual,0.812786962572855,1.54732505576223,MoonStudy
5009,0.525285207232985,379144000,11,Perceptual,1.12249365388949,2.13692226324511,MoonStudy
5009,0.525285207232985,379144000,22,Perceptual,0.790830598396201,1.50552611706318,MoonStudy
5010,0.525285207232985,379144000,11,Perceptual,1.13797531399819,2.16639512845343,MoonStudy
5010,0.525285207232985,379144000,25,Perceptual,0.970821925241984,1.84818059194152,MoonStudy
5011,0.525285207232985,379144000,11,Perceptual,1.07847694728465,2.05312643956925,MoonStudy
5011,0.525285207232985,379144000,23,Perceptual,1.78515884839438,3.39845635059467,MoonStudy
5012,0.525285207232985,379144000,12,Perceptual,1.12517011100173,2.14201750879055,MoonStudy
5012,0.525285207232985,379144000,23,Perceptual,1.08277496964194,2.06130870379086,MoonStudy
5013,0.525285207232985,379144000,12,Perceptual,1.27058902397887,2.41885552169245,MoonStudy
5013,0.525285207232985,379144000,27,Perceptual,1.74718269545507,3.326160096262,MoonStudy
5014,0.525285207232985,379144000,12,Perceptual,1.16736112377781,2.22233770855085,MoonStudy
5014,0.525285207232985,379144000,28,Perceptual,1.07496419948541,2.04643912427676,MoonStudy
5015,0.525285207232985,379144000,13,Perceptual,1.48103291865042,2.81948339351106,MoonStudy
5015,0.525285207232985,379144000,28,Perceptual,0.913717249345349,1.7394688385734,MoonStudy
