ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Round 1 Final Moon,Round 1 Adjusted Template Size (cm),Round 1 Adjusted Distance (cm),Elevation (deg),Round 1 Caliper Aperture (cm),Round 1 Caliper Distance (cm),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Round 2 Final Moon,Round 2 Adjusted Template Size (cm),Round 2 Adjusted Distance (cm),Time,Elevation (deg) ,Round 2 Caliper Aperture (cm),Round 2 Caliper Distance (cm)
1037,Female,18,10/16/2024,3476,357488,7:33:00 PM,14,2.15,72.00,7,0.78,51.00,16.00,,,11,1.44,62.00,7,0.78,45.50,9:41:00 PM,41.00,,
1038,Female,20,10/16/2024,3476,357488,7:39:00 PM,15,2.44,79.00,7,0.78,52.00,11,,,13,1.90,82.00,7,0.78,52.00,8:36:00 PM,28.00,,
1039,Female,20,10/16/2024,3476,357488,7:40:00 PM,10,1.22,78.00,8,0.96,58.00,18.00,,,8,0.96,76.00,7,0.78,49.00,8:40:00 PM,29.00,,
1040,Female,18,10/16/2024,3476,357488,7:43:00 PM,19,4.00,71.00,12,1.63,49.00,18.00,,,11,1.44,77.00,10,1.22,46.00,9:03:00 PM,34.00,,
1041,Female,18,10/16/2024,3476,357488,7:45:00 PM,13,1.90,80.00,10,1.22,47.00,19.00,,,12,1.63,70.00,12,1.63,45.00,8:58:00 PM,33.00,,
1042,Male,18,10/16/2024,3476,357488,7:48:00 PM,13,1.90,87.00,10,1.22,60.00,19.00,,,12,1.63,81.00,10,1.22,53.00,8:59:00 PM,33.00,,
1043,Female,18,10/16/2024,3476,357488,7:50:00 PM,11,1.44,86.50,8,0.96,52.00,20.00,,,11,1.44,48.00,8,0.96,45.00,9:11:00 PM,35.00,,
1044,Female,20,10/16/2024,3476,357488,7:52:00 PM,12,1.63,73.00,10,1.22,50.00,20.00,,,12,1.63,76.00,9,0.98,45.00,9:18:00 PM,36.00,,
1045,Male,19,10/16/2024,3476,357488,7:56:00 PM,8,0.96,76.00,10,1.22,76.50,21.00,,,9,0.98,81.50,9,0.98,45.00,9:21:00 PM,37.00,,
1046,GNC,18,10/16/2024,3476,357488,7:59:00 PM,13,1.90,67.00,11,1.44,48.00,22.00,,,12,1.63,63.00,10,1.22,49.00,9:14:00 PM,36.00,,
1047,Male,23,10/16/2024,3476,357488,8:01:00 PM,10,1.22,75.50,10,1.22,54.50,22.00,,,10,1.22,81.00,8,0.96,44.00,9:34:00 PM,39.00,,
1048,Female,18,10/16/2024,3476,357488,8:03:00 PM,14,2.15,78.00,7,0.78,41.00,22.00,,,10,1.22,85.00,6,0.72,45.00,9:35:00 PM,39.50,,
1049,Male,18,10/16/2024,3476,357488,8:04:00 PM,17,3.30,70.00,14,2.15,52.00,22.00,,,15,2.44,85.00,12,1.63,45.00,9:43:00 PM,41.00,,
1050,Male,22,10/16/2024,3476,357488,8:06:00 PM,10,1.22,83.00,9,0.98,61.00,23.00,,,10,1.22,84.00,9,0.98,56.00,9:38:00 PM,40.00,,
1051,Female,21,10/16/2024,3476,357488,8:08:00 PM,10,1.22,41.00,7,0.78,46.00,23.00,,,7,0.78,50.50,6,0.72,42.50,9:50:00 PM,42.00,,
1052,Female,18,10/16/2024,3476,357488,8:10:00 PM,16,2.70,68.00,9,0.98,53.00,24.00,,,11,1.44,73.50,8,0.96,42.00,10:08:00 PM,45.00,,
1053,Female,21,10/16/2024,3476,357488,8:12:00 PM,10,1.22,75.00,9,0.98,50.00,24.00,,,8,0.96,73.50,10,1.22,43.00,10:02:00 PM,44.00,,
1054,Female,21,10/17/2024,3476,357252,7:16:00 PM,17,3.30,74.00,12,1.63,57.50,7.00,,,13,1.90,83.00,10,1.22,32.50,9:50:00 PM,36.00,,
1055,Female,22,10/17/2024,3476,357252,7:24:00 PM,13,1.90,81.00,7,0.78,45.50,8.00,,,9,0.98,82.50,7,0.78,47.00,9:45:00 PM,36.00,,
1056,Female,18,10/17/2024,3476,357252,7:30:00 PM,14,2.15,61.50,8,0.96,50.50,10.00,,,6,0.72,80.00,7,0.78,42.25,9:53:00 PM,37.00,,
1057,Male,23,10/17/2024,3476,357252,7:35:00 PM,16,2.70,75.00,11,1.44,50.00,11.00,,,13,1.90,83.75,10,1.22,48.00,9:29:00 PM,32.00,,
1058,Female,,10/17/2024,3476,357252,7:46:00 PM,16,2.70,79.50,,,,13.00,,,13,1.90,77.00,8,0.96,39.50,9:38:00 PM,34.00,,
1059,Female,18,10/17/2024,3476,357252,7:40:00 PM,15,2.44,68.00,13,1.90,53.50,11.00,,,14,2.15,64.50,13,1.90,46.50,9:48:00 PM,36.00,,
1060,Female,,10/17/2024,3476,357252,7:42:00 PM,14,2.15,88.50,13,1.90,48.00,12.00,,,12,1.63,73.50,11,1.44,44.50,9:35:00 PM,34.00,,
1061,Female,19,10/17/2024,3476,357252,7:45:00 PM,15,2.44,71.00,,,,12.00,,,14,2.15,76.00,10,1.22,48.75,9:12:00 PM,29.00,,
1062,Female,19,10/17/2024,3476,357252,7:54:00 PM,14,2.15,65.50,11,1.44,45.50,14.00,,,13,1.90,68.00,10,1.22,30.00,9:47:00 PM,36.00,,
1063,Female,21,10/17/2024,3476,357252,7:55:00 PM,13,1.90,78.50,9,0.98,45.50,14.00,,,8,0.96,75.75,6,0.72,41.50,10:03:00 PM,39.00,,
1064,Female,20,10/17/2024,3476,357252,8:06:00 PM,13,1.90,86.50,12,1.63,44.00,16.00,,,14,2.15,68.00,8,0.96,40.50,10:32:00 PM,45.00,,
1065,Female,18,10/17/2024,3476,357252,8:00:00 PM,12,1.63,74.50,6,0.72,46.50,15.00,,,8,0.96,71.50,6,0.72,44.50,9:43:00 PM,35.00,,
1066,Female,20,10/17/2024,3476,357252,8:03:00 PM,15,2.44,75.50,6,0.72,48.50,16.00,,,11,1.44,79.25,8,0.96,46.50,9:57:00 PM,38.00,,
1067,Female,23,10/17/2024,3476,357252,8:05:00 PM,13,1.90,80.00,9,0.98,59.50,16.00,,,11,1.44,84.00,8,0.96,52.00,10:07:00 PM,40.00,,
1068,Female,22,10/17/2024,3476,357252,8:09:00 PM,13,1.90,72.00,9,0.98,43.50,17.00,,,13,1.90,80.50,7,0.78,40.00,10:09:00 PM,40.00,,
1069,Female,38,10/17/2024,3476,357252,8:12:00 PM,9,0.98,55.50,3,0.49,17.50,17.00,,,5,0.65,63.25,5,0.65,26.00,9:55:00 PM,37.00,,
1070,Female,23,10/17/2024,3476,357252,8:15:00 PM,12,1.63,65.00,8,0.96,29.00,18.00,,,10,1.22,81.00,10,1.22,42.50,9:58:00 PM,38.00,,
1071,Female,21,10/17/2024,3476,357252,8:17:00 PM,14,2.15,73.75,8,0.96,39.70,18.00,,,11,1.44,84.50,10,1.22,45.50,10:15:00 PM,41.00,,
1072,Female,18,10/17/2024,3476,357252,8:20:00 PM,10,1.22,38.20,7,0.78,19.90,19.00,,,8,0.96,77.50,8,0.96,38.75,10:01:00 PM,39.00,,
1073,Female,,10/17/2024,3476,357252,8:23:00 PM,13,1.90,59.40,9,0.98,31.20,20.00,,,10,1.22,73.00,8,0.96,29.75,9:40:00 PM,35.00,,
1074,Female,20,10/17/2024,3476,357252,8:26:00 PM,14,2.15,61.00,7,0.78,27.30,20.00,,,7,0.78,66.25,6,0.72,26.50,10:27:00 PM,44.00,,
52,Female,19,10/17/2024,3476,357252,8:28:00 PM,6,0.72,71.10,7,0.78,47.60,21.00,,,7,0.78,76.50,6,0.72,42.00,10:41:00 PM,46.00,,
1076,GNC,23,10/17/2024,3476,357252,8:30:00 PM,9,0.98,51.70,4,0.52,29.80,21.00,,,,,,,,,,,,
1077,Female,18,10/17/2024,3476,357252,8:33:00 PM,12,1.63,49.00,,,48.10,21.00,,,10,1.22,76.00,9,0.98,42.00,10:25:00 PM,43.00,,
1078,Female,,10/17/2024,3476,357252,8:35:00 PM,7,0.78,60.40,7,0.78,40.50,22.00,,,7,0.78,61.25,7,0.78,42.25,10:26:00 PM,44.00,,
1079,Female,18,10/17/2024,3476,357252,8:37:00 PM,10,1.22,63.60,7,0.78,44.20,22.00,,,8,0.96,82.00,7,0.78,40.50,10:22:00 PM,43.00,,
1080,Female,22,10/17/2024,3476,357252,8:40:00 PM,10,1.22,54.30,7,0.78,49.30,23.00,,,9,0.98,74.75,8,0.96,48.00,10:21:00 PM,43.00,,
54,Female,23,10/17/2024,3476,357252,8:42:00 PM,8,0.96,67.70,8,0.96,48.20,23.00,,,10,1.22,72.50,9,0.98,50.50,10:28:00 PM,44.00,,
1082,Female,18,10/17/2024,3476,357252,8:45:00 PM,8,0.96,46.90,8,0.96,45.70,24.00,,,9,0.98,67.00,9,0.98,42.00,10:36:00 PM,45.00,,
32131,Female,21,11/15/2024,3476,361929,5:10:00 PM,13,1.90,72.00,7,0.78,47.00,4.00,,,7,0.78,66.00,7,0.78,40.00,6:52:00 PM,23.00,,
31948,Male,19,11/15/2024,3476,361929,5:12:00 PM,13,1.90,68.00,8,0.96,45.00,5.00,,,,,,,,,,,,
1083,Female,22,11/15/2024,3476,361929,5:14:00 PM,13,1.90,74.00,6,0.72,30.50,5.00,,,,,,,,,,,,
32002,Male,20,11/15/2024,3476,361929,5:16:00 PM,10,1.22,76.50,6,0.72,44.25,5.00,,,,,,,,,,,,
32245,Female,20,11/15/2024,3476,361929,5:18:00 PM,7,0.78,61.00,8,0.96,43.00,6.00,,,6,0.72,65.00,7,0.78,40.50,6:55:00 PM,23.00,,
