"ID","Session","Task","Altitude","Disparity_VA","Reported_Visual_Angle","Real_Visual_Angle","Ratio_Visual_Angle","Distance","Date"
"1037","Lower","Perceptual",16,NA,1.71078852195229,0.5484,3.11959978474159,183560.6568,"Oct 16"
"1037","Lower","Adjusted",16,NA,0.876271312098295,0.5484,1.59786891338128,183560.6568,"Oct 16"
"1037","Higher","Perceptual",41,3.2020360044857,1.33068086928785,0.5484,2.42647860920468,183560.6568,"Oct 16"
"1037","Higher","Adjusted",41,3.2020360044857,0.982189309936894,0.5484,1.79100895320367,183560.6568,"Oct 16"
"1038","Lower","Perceptual",11,NA,1.76950113864261,0.5484,3.22666144902009,183560.6568,"Oct 16"
"1038","Lower","Adjusted",11,NA,0.859420578802087,0.5484,1.56714182859607,183560.6568,"Oct 16"
"1038","Higher","Perceptual",28,11.1059420660736,1.32752574337253,0.5484,2.42072527967273,183560.6568,"Oct 16"
"1038","Higher","Adjusted",28,11.1059420660736,0.859420578802087,0.5484,1.56714182859607,183560.6568,"Oct 16"
"1039","Lower","Perceptual",18,NA,0.896146487219218,0.5484,1.63411102702264,183560.6568,"Oct 16"
"1039","Lower","Adjusted",18,NA,0.948322286999679,0.5484,1.7292528938725,183560.6568,"Oct 16"
"1039","Higher","Perceptual",29,11.4781969961792,0.723726539416115,0.5484,1.319705578804,183560.6568,"Oct 16"
"1039","Higher","Adjusted",29,11.4781969961792,0.912036007307599,0.5484,1.6630853524938,183560.6568,"Oct 16"
"1040","Lower","Perceptual",18,NA,3.22707786576236,0.5484,5.8845329426739,183560.6568,"Oct 16"
"1040","Lower","Adjusted",18,NA,1.90578591584785,0.5484,3.47517490125428,183560.6568,"Oct 16"
"1040","Higher","Perceptual",34,9.48417548956084,1.07147425973608,0.5484,1.95381885436923,183560.6568,"Oct 16"
"1040","Higher","Adjusted",34,9.48417548956084,1.51949465365048,0.5484,2.77077799717447,183560.6568,"Oct 16"
"1041","Lower","Perceptual",19,NA,1.36071080534582,0.5484,2.48123779238844,183560.6568,"Oct 16"
"1041","Lower","Adjusted",19,NA,1.48716864965156,0.5484,2.71183196508309,183560.6568,"Oct 16"
"1041","Higher","Perceptual",33,6.91744863761283,1.33411287130862,0.5484,2.43273681857881,183560.6568,"Oct 16"
"1041","Higher","Adjusted",33,6.91744863761283,2.0751535857627,0.5484,3.78401456193053,183560.6568,"Oct 16"
"1042","Lower","Perceptual",19,NA,1.25123740937504,0.5484,2.28161453204785,183560.6568,"Oct 16"
"1042","Lower","Adjusted",19,NA,1.16497404686829,0.5484,2.12431445453737,183560.6568,"Oct 16"
"1042","Higher","Perceptual",33,6.69489736220289,1.15295023673421,0.5484,2.10238919900475,183560.6568,"Oct 16"
"1042","Higher","Adjusted",33,6.69489736220289,1.31882574964045,0.5484,2.40486095849827,183560.6568,"Oct 16"
"1043","Lower","Perceptual",20,NA,0.953803666266298,0.5484,1.73924811500054,183560.6568,"Oct 16"
"1043","Lower","Adjusted",20,NA,1.05773819557891,0.5484,1.92877132673032,183560.6568,"Oct 16"
"1043","Higher","Perceptual",35,9.17156355097448,1.71874448728936,0.5484,3.13410738017754,183560.6568,"Oct 16"
"1043","Higher","Adjusted",35,9.17156355097448,1.22226360887304,0.5484,2.22878119779912,183560.6568,"Oct 16"
"1044","Lower","Perceptual",20,NA,1.27929096791041,0.5484,2.33276981748799,183560.6568,"Oct 16"
"1044","Lower","Adjusted",20,NA,1.39794766602828,0.5484,2.54913870537614,183560.6568,"Oct 16"
"1044","Higher","Perceptual",36,9.07740844469396,1.22879659082724,0.5484,2.24069400223785,183560.6568,"Oct 16"
"1044","Higher","Adjusted",36,9.07740844469396,1.2477254420039,0.5484,2.27521050693636,183560.6568,"Oct 16"
"1045","Lower","Perceptual",21,NA,0.723726539416115,0.5484,1.319705578804,183560.6568,"Oct 16"
"1045","Lower","Adjusted",21,NA,0.913717249345349,0.5484,1.66615107466329,183560.6568,"Oct 16"
"1045","Higher","Perceptual",37,4.29517085659701,0.688947084423157,0.5484,1.25628571193136,183560.6568,"Oct 16"
"1045","Higher","Adjusted",37,4.29517085659701,1.2477254420039,0.5484,2.27521050693636,183560.6568,"Oct 16"
"1046","Lower","Perceptual",22,NA,1.62469681337902,0.5484,2.96261271586254,183560.6568,"Oct 16"
"1046","Lower","Adjusted",22,NA,1.71874448728936,0.5484,3.13410738017754,183560.6568,"Oct 16"
"1046","Higher","Perceptual",36,8.64722526645977,1.48233192547313,0.5484,2.7030122638095,183560.6568,"Oct 16"
