ID,Gender,Date,Time,Age,Version,Measurement,Reported_Visual_Angle,Object,Task,Ground_Distance,Real_Visual_Angle,Ground_Elevation,Width,Observer_Distance,Observer_Elevation,Template_Size,Arm_Length,Ratio_Visual_Angle
5,Male,2/23/24,14:25,23,1,Lamp2_Perceptual_VA,2.163359796,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,2.7,71.5,1.876801927
5,Male,2/23/24,14:25,23,1,Lamp2_Adjusted_VA,2.170948719,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,0.72,19,1.883385624
5,Male,2/23/24,14:25,23,1,Lamp3_Perceptual_VA,1.955078838,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,2.44,71.5,4.220842956
5,Male,2/23/24,14:25,23,1,Lamp3_Adjusted_VA,0.950844305,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.39,23.5,2.052789079
5,Male,2/23/24,14:25,23,1,Lamp4_Perceptual_VA,2.163359796,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,2.7,71.5,3.178415021
5,Male,2/23/24,14:25,23,1,Lamp4_Adjusted_VA,1.385690842,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.52,21.5,2.035861346
5,Male,2/23/24,14:25,23,1,Stick1_Perceptual_VA,8.271455735,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,10.34,71.5,3.499827646
5,Male,2/23/24,14:25,23,1,Stick1_Adjusted_VA,4.009068064,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,1.4,20,1.696321385
5,Male,2/23/24,14:25,23,1,Stick2_Perceptual_VA,8.79741071,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,11,71.5,1.198792458
5,Male,2/23/24,14:25,23,1,Stick2_Adjusted_VA,8.72073154,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,3.05,20,1.188343656
5,Male,2/23/24,14:25,23,1,Stick3_Perceptual_VA,7.202556234,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,9,71.5,2.439692681
5,Male,2/23/24,14:25,23,1,Stick3_Adjusted_VA,3.273154083,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,1.4,24.5,1.108702216
5,Male,2/23/24,14:25,23,1,Stick4_Perceptual_VA,8.79741071,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,11,71.5,2.028424569
5,Male,2/23/24,14:25,23,1,Stick4_Adjusted_VA,7.204551677,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,2.77,22,1.661158051
6,Male,2/23/24,15:10,34,1,Lamp1_Perceptual_VA,2.272900292,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,2.44,61.5,6.130066871
6,Male,2/23/24,15:10,34,1,Lamp1_Adjusted_VA,0.451418958,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.52,66,1.21748781
6,Male,2/23/24,15:10,34,1,Lamp2_Perceptual_VA,2.515020559,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,2.7,61.5,2.18188183
6,Male,2/23/24,15:10,34,1,Lamp2_Adjusted_VA,1.299250189,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.44,63.5,1.127151971
6,Male,2/23/24,15:10,34,1,Lamp3_Perceptual_VA,2.515020559,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,2.7,61.5,5.429707797
6,Male,2/23/24,15:10,34,1,Lamp3_Adjusted_VA,0.642101154,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.65,58,1.386239817
6,Male,2/23/24,15:10,34,1,Lamp4_Perceptual_VA,2.515020559,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,2.7,61.5,3.69507612
6,Male,2/23/24,15:10,34,1,Lamp4_Adjusted_VA,0.715042048,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.78,62.5,1.050542027
6,Male,2/23/24,15:10,34,1,Stick1_Perceptual_VA,7.164268847,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,7.7,61.5,3.031353486
6,Male,2/23/24,15:10,34,1,Stick1_Adjusted_VA,2.678694909,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,3.32,71,1.1334124
6,Male,2/23/24,15:10,34,1,Stick2_Perceptual_VA,9.610547548,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,10.34,61.5,1.309595778
6,Male,2/23/24,15:10,34,1,Stick2_Adjusted_VA,9.354835718,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,9,55,1.274750819
6,Male,2/23/24,15:10,34,1,Stick3_Perceptual_VA,8.36983225,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,9,61.5,2.835079354
6,Male,2/23/24,15:10,34,1,Stick3_Adjusted_VA,2.751473113,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,3.05,63.5,0.931995336
6,Male,2/23/24,15:10,34,1,Stick4_Perceptual_VA,9.610547548,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,10.34,61.5,2.215910046
6,Male,2/23/24,15:10,34,1,Stick4_Adjusted_VA,6.072643785,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,6.1,57.5,1.40017333
7,Female,2/23/24,16:24,21,1,Lamp1_Perceptual_VA,1.195694611,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.96,46,3.224817185
7,Female,2/23/24,16:24,21,1,Lamp1_Adjusted_VA,0.378733435,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.39,59,1.021453202
7,Female,2/23/24,16:24,21,1,Lamp2_Perceptual_VA,2.677467562,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,2.15,46,2.322811161
7,Female,2/23/24,16:24,21,1,Lamp2_Adjusted_VA,1.100045174,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,0.96,50,0.954333581
7,Female,2/23/24,16:24,21,1,Lamp3_Perceptual_VA,1.22060305,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.98,46,2.635174442
7,Female,2/23/24,16:24,21,1,Lamp3_Adjusted_VA,0.494709384,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.49,56.75,1.068033973
7,Female,2/23/24,16:24,21,1,Lamp4_Perceptual_VA,1.79346056,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,1.44,46,2.634957899
7,Female,2/23/24,16:24,21,1,Lamp4_Adjusted_VA,0.687541104,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.72,60,1.010137553
7,Female,2/23/24,16:24,21,1,Stick1_Perceptual_VA,3.797568441,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,3.05,46,1.606831426
